ID,Global_U,Global_V,Map_X,Map_Y,Width_m,Length_m
102,766,2878,-20.34,-1.11,0.23,0.23
103,776,2770,-20.25,-2.09,0.22,0.23
104,793,2150,-20.09,-7.74,0.32,0.33
105,1123,2443,-17.09,-5.07,0.13,0.11
106,785,2928,-20.17,-0.65,0.18,0.17
107,737,2138,-20.60,-7.85,0.23,0.25
108,784,1870,-20.17,-10.28,0.26,0.21
109,2571,2953,-3.90,-0.42,1.03,0.83
110,2560,1560,-4.01,-13.11,0.22,0.21
111,2245,2119,-6.87,-8.02,0.17,0.20
112,2564,2690,-3.97,-2.82,0.20,0.18
113,2493,2340,-4.62,-6.00,0.16,0.17
114,2667,1699,-3.03,-11.84,0.21,0.23
115,1891,2726,-10.10,-2.49,0.13,0.13
116,2532,2518,-4.26,-4.39,0.15,0.16
117,2278,1838,-6.57,-10.58,0.12,0.13
118,2702,2306,-2.71,-6.31,0.17,0.14
119,1622,1644,-12.54,-12.35,0.21,0.20
120,1715,2583,-11.70,-3.79,0.14,0.12
121,1541,1937,-13.28,-9.67,0.12,0.10
122,2566,2479,-3.95,-4.74,0.11,0.12
123,2580,1729,-3.82,-11.57,0.55,0.47
124,2622,1725,-3.44,-11.60,0.31,0.25
125,3469,2572,4.27,-3.89,0.43,0.57
126,3899,2279,8.19,-6.56,0.48,0.56
127,3641,1938,5.84,-9.66,0.40,0.45
128,4391,2197,12.67,-7.31,0.21,0.22
129,4258,2940,11.46,-0.54,0.21,0.21
130,3560,2776,5.10,-2.04,0.36,0.33
131,3335,1634,3.05,-12.44,0.21,0.22
132,4461,1989,13.31,-9.20,0.21,0.19
133,3512,2735,4.67,-2.41,0.54,0.62
134,4430,2160,13.02,-7.65,0.19,0.15
135,4462,2023,13.31,-8.89,0.16,0.14
136,4367,2724,12.45,-2.51,0.16,0.20
137,3620,1808,5.65,-10.85,0.18,0.15
138,3733,1905,6.67,-9.97,0.15,0.16
139,4189,1526,10.83,-13.42,0.15,0.15
140,3681,2833,6.20,-1.52,0.15,0.17
141,4150,1812,10.48,-10.82,0.15,0.15
142,4259,2902,11.46,-0.89,0.16,0.15
143,4323,1671,12.05,-12.10,0.13,0.16
144,4214,1950,11.05,-9.56,0.13,0.15
145,4493,2199,13.60,-7.29,0.10,0.23
146,3406,2969,3.70,-0.28,0.17,0.14
147,4492,2443,13.59,-5.07,0.12,0.24
148,3057,2654,0.52,-3.15,0.11,0.10
149,4392,2165,12.67,-7.60,0.15,0.14
150,4381,1714,12.57,-11.71,0.13,0.11
151,3057,2864,0.52,-1.24,0.20,0.16
152,3406,2662,3.70,-3.08,0.12,0.11
153,3654,1804,5.96,-10.89,0.10,0.11
154,3585,1775,5.33,-11.15,0.10,0.13
155,4119,2053,10.19,-8.62,0.08,0.10
156,3130,2657,1.18,-3.12,0.25,0.24
157,3935,1842,8.52,-10.54,0.12,0.13
158,3661,1908,6.02,-9.94,0.09,0.10
159,3544,2485,4.96,-4.69,0.14,0.13
160,3130,2656,1.19,-3.13,0.23,0.21
161,4035,1884,9.43,-10.16,0.19,0.12
162,3439,2205,4.00,-7.23,0.11,0.12
163,3016,1727,0.15,-11.59,0.30,0.83
164,4782,2093,16.23,-8.25,0.24,0.19
165,4561,2055,14.21,-8.60,0.18,0.14
166,4508,2759,13.73,-2.19,0.15,0.25
167,4513,1686,13.78,-11.96,0.18,0.21
168,4745,2376,15.89,-5.68,0.13,0.13
169,4596,2064,14.54,-8.52,0.15,0.15
170,4536,2088,13.99,-8.30,0.22,0.15
171,4507,2197,13.72,-7.31,0.13,0.23
172,4782,2478,16.23,-4.75,0.14,0.15
173,4533,2376,13.96,-5.68,0.12,0.13
174,4673,2336,15.23,-6.05,0.13,0.11
175,4601,2307,14.58,-6.31,0.12,0.10
176,4538,2200,14.01,-7.28,0.15,0.19
177,812,4361,-19.92,12.39,0.83,0.66
178,1088,3321,-17.40,2.93,0.23,0.25
179,1019,3744,-18.04,6.78,0.18,0.19
180,818,4231,-19.86,11.21,0.48,0.56
181,1056,3919,-17.70,8.37,0.19,0.19
182,1057,3745,-17.69,6.78,0.23,0.16
183,977,3324,-18.42,2.95,0.16,0.20
184,950,3497,-18.66,4.53,0.19,0.19
185,834,4417,-19.72,12.91,0.19,0.15
186,1023,3603,-18.00,5.49,0.18,0.20
187,1131,4315,-17.02,11.98,0.66,0.61
188,1054,3186,-17.72,1.69,0.18,0.20
189,942,3010,-18.74,0.09,0.18,0.18
190,861,3690,-19.47,6.28,0.25,0.22
191,822,4019,-19.83,9.28,0.24,0.27
192,796,3987,-20.07,8.99,0.20,0.20
193,819,3083,-19.86,0.76,0.24,0.24
194,783,4137,-20.19,10.36,0.35,0.25
195,839,3116,-19.68,1.06,0.24,0.24
196,948,3820,-18.68,7.47,0.17,0.15
197,662,3078,-21.28,0.71,0.17,0.22
198,892,3789,-19.19,7.18,0.25,0.25
199,1364,3397,-14.90,3.62,0.13,0.14
200,898,3575,-19.13,5.24,0.23,0.23
201,746,3139,-20.52,1.27,0.25,0.25
202,869,3079,-19.40,0.72,0.24,0.20
203,696,4169,-20.98,10.64,0.13,0.13
204,862,3892,-19.46,8.12,0.17,0.16
205,817,3664,-19.87,6.05,0.19,0.23
206,1089,3536,-17.40,4.88,0.16,0.16
207,836,3044,-19.70,0.40,0.20,0.20
208,868,3728,-19.41,6.63,0.24,0.25
209,915,3691,-18.98,6.30,0.15,0.21
210,1152,3396,-16.82,3.61,0.15,0.15
211,845,4025,-19.62,9.34,0.12,0.15
212,801,3589,-20.02,5.37,0.19,0.17
213,805,3735,-19.99,6.70,0.24,0.25
214,853,3060,-19.55,0.55,0.25,0.24
215,867,3497,-19.42,4.53,0.25,0.19
216,859,3231,-19.49,2.11,0.37,0.34
217,823,3601,-19.82,5.48,0.18,0.19
218,788,4027,-20.14,9.36,0.22,0.19
219,847,3140,-19.60,1.27,0.33,0.25
220,700,3044,-20.94,0.41,0.13,0.15
221,788,3339,-20.14,3.09,0.23,0.29
222,872,3429,-19.37,3.91,0.15,0.16
223,908,3043,-19.04,0.40,0.10,0.10
224,967,4157,-18.51,10.53,0.17,0.20
225,833,4189,-19.73,10.83,0.49,0.43
226,805,3610,-19.99,5.56,0.27,0.23
227,801,3657,-20.02,5.99,0.16,0.19
228,829,3739,-19.77,6.73,0.18,0.25
229,861,3477,-19.47,4.34,0.23,0.24
230,1366,3814,-14.87,7.42,0.10,0.10
231,887,3537,-19.23,4.89,0.19,0.25
232,802,4038,-20.01,9.45,0.17,0.16
233,772,3079,-20.28,0.72,0.23,0.23
234,823,3369,-19.82,3.36,0.18,0.15
235,791,3069,-20.11,0.63,0.15,0.19
236,699,4135,-20.95,10.34,0.11,0.10
237,866,3596,-19.43,5.43,0.16,0.16
238,968,4157,-18.50,10.53,0.16,0.18
239,1442,3321,-14.18,2.92,1.05,1.27
240,749,3074,-20.50,0.67,0.22,0.18
241,885,3830,-19.25,7.56,0.19,0.20
242,947,3358,-18.69,3.26,0.13,0.16
243,801,3967,-20.02,8.80,0.17,0.16
244,813,3928,-19.91,8.45,0.27,0.23
245,1019,3711,-18.04,6.47,0.11,0.09
246,832,4190,-19.74,10.83,0.50,0.46
247,860,3327,-19.48,2.98,0.15,0.17
248,791,3243,-20.11,2.21,0.23,0.22
249,797,3186,-20.06,1.70,0.24,0.23
250,846,3827,-19.61,7.53,0.20,0.19
251,914,3989,-18.99,9.01,0.14,0.10
252,770,3161,-20.30,1.47,0.20,0.23
253,872,3551,-19.38,5.02,0.22,0.26
254,720,3057,-20.75,0.52,0.26,0.28
255,821,3293,-19.84,2.67,0.20,0.19
256,763,3027,-20.37,0.25,0.15,0.16
257,1090,3811,-17.39,7.38,0.11,0.09
258,1960,3509,-9.47,4.63,1.15,1.06
259,2356,3208,-5.86,1.89,1.08,1.07
260,2913,4026,-0.79,9.35,0.21,0.23
261,2490,3784,-4.64,7.14,0.24,0.21
262,2420,3675,-5.28,6.15,0.17,0.19
263,2208,3331,-7.21,3.02,0.46,0.57
264,2240,3391,-6.92,3.56,0.46,0.52
265,2953,3220,-0.42,2.01,0.21,0.21
266,2985,3924,-0.13,8.42,0.23,0.19
267,2844,4278,-1.42,11.64,0.21,0.20
268,2175,3608,-7.51,5.54,0.17,0.18
269,2280,3181,-6.56,1.65,0.18,0.20
270,2418,4399,-5.29,12.74,0.21,0.18
271,2882,3995,-1.07,9.06,0.15,0.15
272,1705,4076,-11.79,9.80,0.76,0.66
273,2668,4451,-3.02,13.21,0.16,0.15
274,2485,4181,-4.68,10.76,0.15,0.15
275,2280,3716,-6.56,6.52,0.13,0.13
276,2525,4426,-4.32,12.99,0.15,0.17
277,2635,3709,-3.32,6.46,0.15,0.18
278,2810,4066,-1.73,9.71,0.18,0.21
279,2349,3677,-5.92,6.16,0.19,0.20
